player_id,player_name,position,average_auction_value,average_draft_position,percent_owned,injured
4248425,Carlos Washington Jr.,2,0.0,169.98551643601814,0.03272077842549077,false
15478,Brandon Bolden,2,0.0,169.98557931114658,0.009688593965651192,false
17315,Keith Smith,2,0.0,169.98572198560572,0.010785415924026799,false
2975863,Eric Saubert,4,0.0161993769470405,169.9857484821103,0.030528211174787722,false
4429684,Anthony Gould,3,0.0,169.98579150660757,0.027784937273676147,false
4243160,Laviska Shenault Jr.,3,0.0,169.9858654069706,0.054473100707601925,false
4036335,Cedrick Wilson Jr.,3,0.001869741352446245,169.9858866173852,0.035645019476804235,false
2980077,Jonathan Williams,2,0.0,169.98591221821795,0.00895737932673412,false
4426335,Graham Mertz,1,0.0,169.9859709261728,0.017565270532611938,false
3924365,Hayden Hurst,4,0.0,169.98598619756714,0.0180976615627605,false
3915381,John Kelly Jr.,2,0.0,169.98599691403692,0.010602437829498176,false
16810,AJ McCarron,1,0.0,169.98610802518118,0.014271938989290555,false
4240603,Malik Davis,2,0.0,169.9861346691396,0.014623811586811516,false
3139925,Rashaad Penny,2,0.0,169.98619242882205,0.02010832905269662,false
4243004,Jordan Mims,2,0.0003116235587410408,169.98620336170865,0.020838664863086314,false
4239992,Amari Rodgers,3,0.0003116235587410408,169.9862351387054,0.011150799018729686,false
4039274,Jonathan Ward,2,0.0006232471174820816,169.9862720542777,0.020655831799378865,false
4250969,Rodney Williams,4,0.00031152647975077883,169.98630339667307,0.01608701613271788,false
4244856,Austin Trammell,3,0.0,169.98636731113706,0.03198935394300777,false
4722908,Drew Ogletree,4,0.0,169.98641472345957,0.030162328166130445,false
4361088,Colson Yankoff,4,0.0021806853582554517,169.98644100038575,0.02467831361200938,false
3127306,Dante Pettis,3,0.0003116235587410408,169.98646242291983,0.036376398846191815,false
4241820,Sam Ehlinger,1,0.0,169.9864997831078,0.023969363128532508,false
4239944,Hunter Long,4,0.00031152647975077883,169.98650962239626,0.034001169932728864,false
4408988,Malik Taylor,3,0.0,169.98660001902206,0.022666286457990598,false
4426479,Cornelius Johnson,3,0.0,169.98666878021717,0.021021383316699022,false
3061612,Jamal Agnew,3,0.0,169.98672133832846,0.04131181463059743,false
4052042,James Robinson,2,0.0,169.98673683988036,0.012978964936686415,false
4428796,Casey Washington,3,0.0003116235587410408,169.98676917386595,0.020655794041625996,false
4427728,Bam Knight,2,0.0,169.98684815403882,0.0113334125453565,false
3051308,PJ Walker,1,0.0,169.98685393852827,0.01317433858416115,false
3122168,Trent Sherfield Sr.,3,0.0,169.98692734478203,0.05429030506764353,false
4372485,Rondale Moore,3,0.0,169.9870861382058,0.12009629639107887,true
3925347,Damien Harris,2,0.0,169.98712251314433,0.022484315818721574,false
4035537,Kene Nwangwu,2,0.0,169.98712264923617,0.02431217564724313,false
4243003,Ronnie Rivers,2,0.0003116235587410408,169.98714392150023,0.029247623173623033,false
3139033,Mike Boone,2,0.0,169.9871964913208,0.01608625155607064,false
4367510,Dante Miller,2,0.0003116235587410408,169.9872073300255,0.02815083730461217,false
5083754,Ryan Flournoy,3,0.0,169.9872078707789,0.05227907520875071,false
4696700,Tip Reiman,4,0.0006230529595015577,169.98722331718196,0.03674299826521864,false
4372070,Ben VanSumeren,2,0.0003116235587410408,169.9872766276723,0.023214155150983403,false
3045138,Mike Williams,3,0.0015581177937052041,169.98728123943187,0.47362783198733577,true
3916204,James Proche II,3,0.0,169.98731829494474,0.01608613393534471,false
3926231,Britain Covey,3,0.0,169.98732899694056,0.033451663260568344,false
3886818,Myles Gaskin,2,0.0003116235587410408,169.9873761526064,0.015720712404190484,false
4241476,Tyrell Shavers,3,0.004362729822374571,169.98769359210783,0.0327205391759908,false
3124092,John Wolford,1,0.0,169.9877163654831,0.012991076411315777,false
4243319,Terrell Bynum,3,0.0006232471174820816,169.9877569352708,0.016269198568310526,false
4567246,Snoop Conner,2,0.0006232471174820816,169.98791004396347,0.010419694319072977,false
4569371,Isaiah Williams,3,0.0,169.98791042725648,0.03418272218769422,false
4035671,Tyler Huntley,1,0.0,169.98792280753727,0.024152335366154895,false
4242540,Isaiah Hodgins,3,0.0,169.98804774561037,0.019193507110737397,false
2577134,Ty Montgomery II,2,0.0,169.98806290358377,0.012979059840778013,false
